Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Mecp2	ENSMUST00000100750.4	"methyl CpG binding protein 2 "	mmu-miR-486a-3p	-0.92
Baiap3	ENSMUST00000182056.2	"BAI1-associated protein 3 "	mmu-miR-486a-3p	-0.92
Camk2a	ENSMUST00000102888.4	"calcium/calmodulin-dependent protein kinase II alpha "	mmu-miR-486a-3p	-0.92
Atxn7l3	ENSMUST00000107134.2	"ataxin 7-like 3 "	mmu-miR-6954-5p	-0.91
Ptms	ENSMUST00000032216.6	"parathymosin "	mmu-miR-6954-5p	-0.90
Slc7a8	ENSMUST00000022787.6	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 "	mmu-miR-486a-3p	-0.90
Tspan9	ENSMUST00000112173.2	"tetraspanin 9 "	mmu-miR-486a-3p	-0.89
Emc10	ENSMUST00000118515.2	"ER membrane protein complex subunit 10 "	mmu-miR-6954-5p	-0.89
Trak1	ENSMUST00000045903.6	"trafficking protein, kinesin binding 1 "	mmu-miR-486a-3p	-0.89
Sept9	ENSMUST00000093907.5	"septin 9 "	mmu-miR-6954-5p	-0.88
Lhfpl4	ENSMUST00000162280.1	"lipoma HMGIC fusion partner-like protein 4 "	mmu-miR-486a-3p	-0.88
Polr2i	ENSMUST00000108193.1	"polymerase (RNA) II (DNA directed) polypeptide I "	mmu-miR-486a-3p	-0.88
Naa10	ENSMUST00000114387.2	"N(alpha)-acetyltransferase 10, NatA catalytic subunit "	mmu-miR-6954-5p	-0.88
Pcsk4	ENSMUST00000020340.9	"proprotein convertase subtilisin/kexin type 4 "	mmu-miR-6954-5p	-0.87
Slc36a1	ENSMUST00000108872.3	"solute carrier family 36 (proton/amino acid symporter), member 1 "	mmu-miR-6954-5p	-0.87
Ifitm2	ENSMUST00000081649.8	"interferon induced transmembrane protein 2 "	mmu-miR-6954-5p	-0.86
Aif1l	ENSMUST00000001920.7	"allograft inflammatory factor 1-like "	mmu-miR-486a-3p	-0.86
Dcakd	ENSMUST00000021313.3	"dephospho-CoA kinase domain containing "	mmu-miR-486a-3p	-0.84
Ppp1r11	ENSMUST00000040402.8	"protein phosphatase 1, regulatory (inhibitor) subunit 11 "	mmu-miR-486a-3p	-0.84
Ctsd	ENSMUST00000151120.2	"cathepsin D "	mmu-miR-6954-5p	-0.83
Ceacam19	ENSMUST00000052605.7	"carcinoembryonic antigen-related cell adhesion molecule 19 "	mmu-miR-486a-3p	-0.83
Tada2b	ENSMUST00000031097.7	"transcriptional adaptor 2B "	mmu-miR-6954-5p	-0.83
Maf	ENSMUST00000109104.1	"avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog "	mmu-miR-486a-3p	-0.82
Syngap1	ENSMUST00000081285.4	"synaptic Ras GTPase activating protein 1 homolog (rat) "	mmu-miR-6954-5p	-0.82
Josd1	ENSMUST00000023061.5	"Josephin domain containing 1 "	mmu-miR-486a-3p	-0.82
Fibcd1	ENSMUST00000028188.7	"fibrinogen C domain containing 1 "	mmu-miR-6954-5p	-0.81
Tpbpb	ENSMUST00000080766.6	"trophoblast specific protein beta "	mmu-miR-486a-3p	-0.81
Pnpla2	ENSMUST00000164016.2	"patatin-like phospholipase domain containing 2 "	mmu-miR-486a-3p	-0.80
9130023H24Rik	ENSMUST00000078816.3	"RIKEN cDNA 9130023H24 gene "	mmu-miR-6954-5p	-0.80
Wfikkn2	ENSMUST00000061469.3	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 "	mmu-miR-486a-3p	-0.80
Doc2a	ENSMUST00000064110.8	"double C2, alpha "	mmu-miR-486a-3p	-0.80
Agpat1	ENSMUST00000037489.9	"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha) "	mmu-miR-486a-3p	-0.80
Fxyd6	ENSMUST00000085939.6	"FXYD domain-containing ion transport regulator 6 "	mmu-miR-6954-5p	-0.80
Zer1	ENSMUST00000044751.9	"zyg-11 related, cell cycle regulator "	mmu-miR-486a-3p	-0.79
Pax2	ENSMUST00000004340.5	"paired box 2 "	mmu-miR-6954-5p	-0.78
Aes	ENSMUST00000002518.8	"amino-terminal enhancer of split "	mmu-miR-6954-5p	-0.78
Fam47e	ENSMUST00000175974.1	"family with sequence similarity 47, member E "	mmu-miR-486a-3p	-0.78
Rap1gap	ENSMUST00000097837.5	"Rap1 GTPase-activating protein "	mmu-miR-486a-3p	-0.78
Mcpt4	ENSMUST00000043249.8	"mast cell protease 4 "	mmu-miR-6954-5p	-0.78
D2hgdh	ENSMUST00000097633.4	"D-2-hydroxyglutarate dehydrogenase "	mmu-miR-486a-3p	-0.77
Zfp653	ENSMUST00000179605.2	"zinc finger protein 653 "	mmu-miR-486a-3p	-0.77
Rerg	ENSMUST00000032347.5	"RAS-like, estrogen-regulated, growth-inhibitor "	mmu-miR-486a-3p	-0.77
Tmem141	ENSMUST00000142087.1	"transmembrane protein 141 "	mmu-miR-486a-3p	-0.76
Cma2	ENSMUST00000089555.2	"chymase 2, mast cell "	mmu-miR-6954-5p	-0.76
Adam15	ENSMUST00000107448.3	"a disintegrin and metallopeptidase domain 15 (metargidin) "	mmu-miR-486a-3p	-0.76
Cacnb1	ENSMUST00000017552.7	"calcium channel, voltage-dependent, beta 1 subunit "	mmu-miR-6954-5p	-0.76
Bcl2l1	ENSMUST00000007803.6	"BCL2-like 1 "	mmu-miR-6954-5p	-0.75
Kcna2	ENSMUST00000038695.1	"potassium voltage-gated channel, shaker-related subfamily, member 2 "	mmu-miR-6954-5p	-0.75
Gps1	ENSMUST00000100134.4	"G protein pathway suppressor 1 "	mmu-miR-486a-3p	-0.75
Arl8a	ENSMUST00000027684.5	"ADP-ribosylation factor-like 8A "	mmu-miR-6954-5p	-0.75
Paqr6	ENSMUST00000147991.1	"progestin and adipoQ receptor family member VI "	mmu-miR-486a-3p	-0.75
Ssu2	ENSMUST00000060847.5	"ssu-2 homolog (C. elegans) "	mmu-miR-486a-3p	-0.75
Med22	ENSMUST00000102899.4	"mediator complex subunit 22 "	mmu-miR-486a-3p	-0.75
Fam3a	ENSMUST00000114143.4	"family with sequence similarity 3, member A "	mmu-miR-6954-5p	-0.75
Trabd2b	ENSMUST00000094894.3	"TraB domain containing 2B "	mmu-miR-6954-5p	-0.74
S100a10	ENSMUST00000045756.8	"S100 calcium binding protein A10 (calpactin) "	mmu-miR-486a-3p	-0.74
4921536K21Rik	ENSMUST00000020712.4	"RIKEN cDNA 4921536K21 gene "	mmu-miR-486a-3p	-0.74
Vipr2	ENSMUST00000011315.4	"vasoactive intestinal peptide receptor 2 "	mmu-miR-6954-5p	-0.74
Vamp2	ENSMUST00000117780.1	"vesicle-associated membrane protein 2 "	mmu-miR-6954-5p	-0.74
Gnpda1	ENSMUST00000063814.9	"glucosamine-6-phosphate deaminase 1 "	mmu-miR-6954-5p	-0.73
Cd3e	ENSMUST00000102832.1	"CD3 antigen, epsilon polypeptide "	mmu-miR-486a-3p	-0.73
Peli3	ENSMUST00000120475.2	"pellino 3 "	mmu-miR-486a-3p	-0.73
Syndig1l	ENSMUST00000095550.2	"synapse differentiation inducing 1 like "	mmu-miR-486a-3p	-0.73
BC018242	ENSMUST00000190387.1	"cDNA sequence BC018242 "	mmu-miR-6954-5p	-0.73
Lcn2	ENSMUST00000050785.8	"lipocalin 2 "	mmu-miR-486a-3p	-0.73
Ptprcap	ENSMUST00000061086.8	"protein tyrosine phosphatase, receptor type, C polypeptide-associated protein "	mmu-miR-486a-3p	-0.72
Fam102a	ENSMUST00000048375.5	"family with sequence similarity 102, member A "	mmu-miR-486a-3p	-0.72
Krt73	ENSMUST00000063292.6	"keratin 73 "	mmu-miR-6954-5p	-0.72
Pik3cd	ENSMUST00000038859.8	"phosphatidylinositol 3-kinase catalytic delta polypeptide "	mmu-miR-6954-5p	-0.72
Ifitm5	ENSMUST00000026562.4	"interferon induced transmembrane protein 5 "	mmu-miR-486a-3p	-0.71
Cnn1	ENSMUST00000001384.4	"calponin 1 "	mmu-miR-486a-3p	-0.71
1810041L15Rik	ENSMUST00000080751.3	"RIKEN cDNA 1810041L15 gene "	mmu-miR-6954-5p	-0.71
Clec16a	ENSMUST00000115823.1	"C-type lectin domain family 16, member A "	mmu-miR-6954-5p	-0.71
Pi4k2a	ENSMUST00000066778.4	"phosphatidylinositol 4-kinase type 2 alpha "	mmu-miR-486a-3p	-0.71
Furin	ENSMUST00000122232.2	"furin (paired basic amino acid cleaving enzyme) "	mmu-miR-6954-5p	-0.71
Impdh1	ENSMUST00000160878.2	"inosine 5'-phosphate dehydrogenase 1 "	mmu-miR-6954-5p	-0.71
Cyb5a	ENSMUST00000160180.2	"cytochrome b5 type A (microsomal) "	mmu-miR-486a-3p	-0.71
Pmm2	ENSMUST00000023396.9	"phosphomannomutase 2 "	mmu-miR-6954-5p	-0.70
Mark2	ENSMUST00000032557.9	"MAP/microtubule affinity-regulating kinase 2 "	mmu-miR-6954-5p	-0.70
Leng8	ENSMUST00000037472.7	"leukocyte receptor cluster (LRC) member 8 "	mmu-miR-6954-5p	-0.70
Phb	ENSMUST00000125172.2	"prohibitin "	mmu-miR-486a-3p	-0.70
Cabyr	ENSMUST00000186263.1	"calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) "	mmu-miR-486a-3p	-0.70
Ccdc23	ENSMUST00000106345.2	"coiled-coil domain containing 23 "	mmu-miR-486a-3p	-0.70
Sh3kbp1	ENSMUST00000112456.3	"SH3-domain kinase binding protein 1 "	mmu-miR-486a-3p	-0.70
Prmt8	ENSMUST00000032500.8	"protein arginine N-methyltransferase 8 "	mmu-miR-6954-5p	-0.70
Rab3il1	ENSMUST00000121418.2	"RAB3A interacting protein (rabin3)-like 1 "	mmu-miR-6954-5p	-0.69
Sncb	ENSMUST00000036825.8	"synuclein, beta "	mmu-miR-486a-3p	-0.69
Scn2b	ENSMUST00000170998.2	"sodium channel, voltage-gated, type II, beta "	mmu-miR-6954-5p	-0.69
Acap1	ENSMUST00000001631.6	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 "	mmu-miR-6954-5p	-0.69
Mef2d	ENSMUST00000119251.2	"myocyte enhancer factor 2D "	mmu-miR-6954-5p	-0.69
Gm5577	ENSMUST00000153372.1	"predicted gene 5577 "	mmu-miR-486a-3p	-0.69
Ing5	ENSMUST00000027505.7	"inhibitor of growth family, member 5 "	mmu-miR-486a-3p	-0.69
Pip4k2b	ENSMUST00000018691.8	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta "	mmu-miR-6954-5p	-0.69
Ctc1	ENSMUST00000021278.8	"CTS telomere maintenance complex component 1 "	mmu-miR-486a-3p	-0.68
Ppp1ca	ENSMUST00000046094.4	"protein phosphatase 1, catalytic subunit, alpha isoform "	mmu-miR-486a-3p	-0.68
Zc4h2	ENSMUST00000120620.2	"zinc finger, C4H2 domain containing "	mmu-miR-486a-3p	-0.68
Bhlha15	ENSMUST00000060747.7	"basic helix-loop-helix family, member a15 "	mmu-miR-486a-3p	-0.68
Gatsl2	ENSMUST00000016088.8	"GATS protein-like 2 "	mmu-miR-6954-5p	-0.68
2310011J03Rik	ENSMUST00000020341.8	"RIKEN cDNA 2310011J03 gene "	mmu-miR-6954-5p	-0.68
Ccnd2	ENSMUST00000000188.8	"cyclin D2 "	mmu-miR-486a-3p	-0.67
Trim47	ENSMUST00000106441.2	"tripartite motif-containing 47 "	mmu-miR-486a-3p	-0.67
Tmem97	ENSMUST00000103242.4	"transmembrane protein 97 "	mmu-miR-486a-3p	-0.67
Tpbpa	ENSMUST00000021885.6	"trophoblast specific protein alpha "	mmu-miR-486a-3p	-0.67
Npc2	ENSMUST00000021668.8	"Niemann-Pick type C2 "	mmu-miR-486a-3p	-0.67
Nr5a1	ENSMUST00000112883.2	"nuclear receptor subfamily 5, group A, member 1 "	mmu-miR-6954-5p	-0.67
Hapln4	ENSMUST00000007738.9	"hyaluronan and proteoglycan link protein 4 "	mmu-miR-486a-3p	-0.67
Map3k11	ENSMUST00000004156.8	"mitogen-activated protein kinase kinase kinase 11 "	mmu-miR-6954-5p	-0.67
Zbtb40	ENSMUST00000049583.7	"zinc finger and BTB domain containing 40 "	mmu-miR-486a-3p	-0.66
Lpin3	ENSMUST00000109455.3	"lipin 3 "	mmu-miR-486a-3p	-0.66
Tmem104	ENSMUST00000100235.3	"transmembrane protein 104 "	mmu-miR-6954-5p	-0.66
Tpi1	ENSMUST00000172132.3	"triosephosphate isomerase 1 "	mmu-miR-486a-3p	-0.66
Ap5b1	ENSMUST00000096318.3	"adaptor-related protein complex 5, beta 1 subunit "	mmu-miR-486a-3p	-0.66
Plac9b	ENSMUST00000184142.2	"placenta specific 9b "	mmu-miR-486a-3p	-0.66
Rsph6a	ENSMUST00000035521.5	"radial spoke head 6 homolog A (Chlamydomonas) "	mmu-miR-486a-3p	-0.66
Bcl7b	ENSMUST00000031692.6	"B cell CLL/lymphoma 7B "	mmu-miR-486a-3p	-0.66
Sh3rf1	ENSMUST00000034060.5	"SH3 domain containing ring finger 1 "	mmu-miR-6954-5p	-0.66
Aldh3b2	ENSMUST00000143380.1	"aldehyde dehydrogenase 3 family, member B2 "	mmu-miR-486a-3p	-0.66
Fcgr4	ENSMUST00000078825.4	"Fc receptor, IgG, low affinity IV "	mmu-miR-486a-3p	-0.65
Polr2j	ENSMUST00000041366.8	"polymerase (RNA) II (DNA directed) polypeptide J "	mmu-miR-486a-3p	-0.65
Arhgdia	ENSMUST00000106197.4	"Rho GDP dissociation inhibitor (GDI) alpha "	mmu-miR-486a-3p	-0.65
Grm2	ENSMUST00000023959.8	"glutamate receptor, metabotropic 2 "	mmu-miR-6954-5p	-0.65
Arpc4	ENSMUST00000156898.1	"actin related protein 2/3 complex, subunit 4 "	mmu-miR-486a-3p	-0.65
Tusc2	ENSMUST00000010198.3	"tumor suppressor candidate 2 "	mmu-miR-486a-3p	-0.65
Rab4b	ENSMUST00000093040.7	"RAB4B, member RAS oncogene family "	mmu-miR-6954-5p	-0.65
Adamts4	ENSMUST00000111315.2	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 "	mmu-miR-486a-3p	-0.65
Gdnf	ENSMUST00000022744.3	"glial cell line derived neurotrophic factor "	mmu-miR-6954-5p	-0.65
Vps9d1	ENSMUST00000117643.2	"VPS9 domain containing 1 "	mmu-miR-486a-3p	-0.65
Klf14	ENSMUST00000101589.4	"Kruppel-like factor 14 "	mmu-miR-6954-5p	-0.65
Clic3	ENSMUST00000114265.3	"chloride intracellular channel 3 "	mmu-miR-486a-3p	-0.64
Atoh8	ENSMUST00000042646.7	"atonal homolog 8 (Drosophila) "	mmu-miR-6954-5p	-0.64
Plac9a	ENSMUST00000052286.9	"placenta specific 9a "	mmu-miR-486a-3p	-0.64
Mmp24	ENSMUST00000029141.5	"matrix metallopeptidase 24 "	mmu-miR-486a-3p	-0.64
Wdr89	ENSMUST00000062370.8	"WD repeat domain 89 "	mmu-miR-486a-3p	-0.64
Relt	ENSMUST00000008462.4	"RELT tumor necrosis factor receptor "	mmu-miR-486a-3p	-0.64
Znrf1	ENSMUST00000171182.2	"zinc and ring finger 1 "	mmu-miR-6954-5p	-0.64
Ttbk1	ENSMUST00000047034.8	"tau tubulin kinase 1 "	mmu-miR-6954-5p	-0.64
Kcna1	ENSMUST00000055168.3	"potassium voltage-gated channel, shaker-related subfamily, member 1 "	mmu-miR-486a-3p	-0.64
Snx1	ENSMUST00000034946.9	"sorting nexin 1 "	mmu-miR-486a-3p	-0.63
Map1lc3a	ENSMUST00000029128.3	"microtubule-associated protein 1 light chain 3 alpha "	mmu-miR-486a-3p	-0.63
Mknk2	ENSMUST00000003433.6	"MAP kinase-interacting serine/threonine kinase 2 "	mmu-miR-486a-3p	-0.63
Ciita	ENSMUST00000023147.6	"class II transactivator "	mmu-miR-6954-5p	-0.63
AU019823	ENSMUST00000131351.2	"expressed sequence AU019823 "	mmu-miR-486a-3p	-0.63
Pdpk1	ENSMUST00000102927.4	"3-phosphoinositide dependent protein kinase 1 "	mmu-miR-486a-3p	-0.62
Apoa4	ENSMUST00000034585.6	"apolipoprotein A-IV "	mmu-miR-486a-3p	-0.62
Gm19426	ENSMUST00000181711.1	"predicted gene, 19426 "	mmu-miR-486a-3p	-0.62
Tub	ENSMUST00000033341.6	"tubby candidate gene "	mmu-miR-486a-3p	-0.62
Bmp7	ENSMUST00000009143.7	"bone morphogenetic protein 7 "	mmu-miR-6954-5p	-0.62
D8Ertd82e	ENSMUST00000110492.1	"DNA segment, Chr 8, ERATO Doi 82, expressed "	mmu-miR-486a-3p	-0.62
9030612E09Rik	ENSMUST00000053792.1	"RIKEN cDNA 9030612E09 gene "	mmu-miR-6954-5p	-0.62
Flnc	ENSMUST00000090474.5	"filamin C, gamma "	mmu-miR-486a-3p	-0.62
Mfn2	ENSMUST00000105716.3	"mitofusin 2 "	mmu-miR-6954-5p	-0.62
Slco4a1	ENSMUST00000038259.7	"solute carrier organic anion transporter family, member 4a1 "	mmu-miR-486a-3p	-0.62
Zbtb17	ENSMUST00000006377.7	"zinc finger and BTB domain containing 17 "	mmu-miR-486a-3p	-0.62
Gprc5a	ENSMUST00000050104.7	"G protein-coupled receptor, family C, group 5, member A "	mmu-miR-486a-3p	-0.61
Trh	ENSMUST00000006046.4	"thyrotropin releasing hormone "	mmu-miR-486a-3p	-0.61
Zc3h14	ENSMUST00000110105.3	"zinc finger CCCH type containing 14 "	mmu-miR-486a-3p	-0.61
Gm5132	ENSMUST00000105137.3	"predicted gene 5132 "	mmu-miR-486a-3p	-0.61
Syvn1	ENSMUST00000138532.2	"synovial apoptosis inhibitor 1, synoviolin "	mmu-miR-6954-5p	-0.61
1700012L04Rik	ENSMUST00000073949.3	"RIKEN cDNA 1700012L04 gene "	mmu-miR-486a-3p	-0.61
Mrps36	ENSMUST00000109333.2	"mitochondrial ribosomal protein S36 "	mmu-miR-486a-3p	-0.61
Gm14501	ENSMUST00000178196.2	"predicted gene 14501 "	mmu-miR-486a-3p	-0.61
Gm14479	ENSMUST00000179004.1	"predicted gene 14479 "	mmu-miR-486a-3p	-0.61
Gm17334	ENSMUST00000170390.1	"predicted gene, 17334 "	mmu-miR-486a-3p	-0.61
Clec4n	ENSMUST00000112554.3	"C-type lectin domain family 4, member n "	mmu-miR-6954-5p	-0.61
Tcn2	ENSMUST00000109993.3	"transcobalamin 2 "	mmu-miR-486a-3p	-0.61
Dab2	ENSMUST00000110664.3	"disabled 2, mitogen-responsive phosphoprotein "	mmu-miR-486a-3p	-0.60
Alox12e	ENSMUST00000019051.2	"arachidonate lipoxygenase, epidermal "	mmu-miR-486a-3p	-0.60
Rgma	ENSMUST00000094312.6	"repulsive guidance molecule family member A "	mmu-miR-6954-5p	-0.60
Gnb3	ENSMUST00000024206.5	"guanine nucleotide binding protein (G protein), beta 3 "	mmu-miR-6954-5p	-0.60
Tmem63b	ENSMUST00000113523.3	"transmembrane protein 63b "	mmu-miR-6954-5p	-0.60
Il2rb	ENSMUST00000089398.2	"interleukin 2 receptor, beta chain "	mmu-miR-486a-3p	-0.60
Smim1	ENSMUST00000182191.2	"small integral membrane protein 1 "	mmu-miR-486a-3p	-0.60
4933434E20Rik	ENSMUST00000160640.2	"RIKEN cDNA 4933434E20 gene "	mmu-miR-486a-3p	-0.60
Col26a1	ENSMUST00000057497.7	"collagen, type XXVI, alpha 1 "	mmu-miR-6954-5p	-0.60
Tmem132e	ENSMUST00000054245.5	"transmembrane protein 132E "	mmu-miR-6954-5p	-0.60
Tmem26	ENSMUST00000080995.6	"transmembrane protein 26 "	mmu-miR-486a-3p	-0.60
Mrpl4	ENSMUST00000003386.5	"mitochondrial ribosomal protein L4 "	mmu-miR-486a-3p	-0.60
Per1	ENSMUST00000021271.8	"period circadian clock 1 "	mmu-miR-6954-5p	-0.60
Dusp7	ENSMUST00000172306.2	"dual specificity phosphatase 7 "	mmu-miR-6954-5p	-0.60
1700055N04Rik	ENSMUST00000179433.2	"RIKEN cDNA 1700055N04 gene "	mmu-miR-486a-3p	-0.60
Fbp1	ENSMUST00000092888.5	"fructose bisphosphatase 1 "	mmu-miR-486a-3p	-0.59
Chst15	ENSMUST00000077472.4	"carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15 "	mmu-miR-486a-3p	-0.59
Slc25a26	ENSMUST00000061118.8	"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26 "	mmu-miR-486a-3p	-0.59
Sp7	ENSMUST00000078508.5	"Sp7 transcription factor 7 "	mmu-miR-6954-5p	-0.59
Xpo6	ENSMUST00000168189.2	"exportin 6 "	mmu-miR-486a-3p	-0.59
Zfp319	ENSMUST00000057717.6	"zinc finger protein 319 "	mmu-miR-486a-3p	-0.59
Mapre3	ENSMUST00000031058.9	"microtubule-associated protein, RP/EB family, member 3 "	mmu-miR-6954-5p	-0.59
Hcn2	ENSMUST00000099513.2	"hyperpolarization-activated, cyclic nucleotide-gated K+ 2 "	mmu-miR-6954-5p	-0.59
Usp39	ENSMUST00000070345.3	"ubiquitin specific peptidase 39 "	mmu-miR-486a-3p	-0.59
Tmem145	ENSMUST00000108409.1	"transmembrane protein 145 "	mmu-miR-6954-5p	-0.58
Ccdc64b	ENSMUST00000062967.8	"coiled-coil domain containing 64B "	mmu-miR-486a-3p	-0.58
Fbxl14	ENSMUST00000032094.6	"F-box and leucine-rich repeat protein 14 "	mmu-miR-486a-3p	-0.58
Gdi1	ENSMUST00000015435.5	"guanosine diphosphate (GDP) dissociation inhibitor 1 "	mmu-miR-486a-3p	-0.58
Grin1	ENSMUST00000114310.4	"glutamate receptor, ionotropic, NMDA1 (zeta 1) "	mmu-miR-6954-5p	-0.58
Thbd	ENSMUST00000099270.4	"thrombomodulin "	mmu-miR-6954-5p	-0.58
Slc6a9	ENSMUST00000030269.8	"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 "	mmu-miR-486a-3p	-0.58
Timm44	ENSMUST00000003029.8	"translocase of inner mitochondrial membrane 44 "	mmu-miR-486a-3p	-0.58
4930596D02Rik	ENSMUST00000043266.6	"RIKEN cDNA 4930596D02 gene "	mmu-miR-486a-3p	-0.58
Sox12	ENSMUST00000182625.1	"SRY (sex determining region Y)-box 12 "	mmu-miR-486a-3p	-0.58
Gm5382	ENSMUST00000079952.3	"predicted gene 5382 "	mmu-miR-486a-3p	-0.58
4930402H24Rik	ENSMUST00000044766.9	"RIKEN cDNA 4930402H24 gene "	mmu-miR-6954-5p	-0.58
Fbxo41	ENSMUST00000159062.2	"F-box protein 41 "	mmu-miR-6954-5p	-0.57
Tcf7l1	ENSMUST00000069536.6	"transcription factor 7 like 1 (T cell specific, HMG box) "	mmu-miR-6954-5p	-0.57
Ttc9	ENSMUST00000036116.5	"tetratricopeptide repeat domain 9 "	mmu-miR-486a-3p	-0.57
Sgtb	ENSMUST00000044385.8	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta "	mmu-miR-486a-3p	-0.57
Radil	ENSMUST00000063635.9	"Ras association and DIL domains "	mmu-miR-486a-3p	-0.57
Gm14483	ENSMUST00000188439.1	"predicted gene 14483 "	mmu-miR-486a-3p	-0.57
Flt3l	ENSMUST00000085377.6	"FMS-like tyrosine kinase 3 ligand "	mmu-miR-486a-3p	-0.57
Gm14484	ENSMUST00000178979.1	"predicted gene 14484 "	mmu-miR-486a-3p	-0.57
Snph	ENSMUST00000094456.4	"syntaphilin "	mmu-miR-486a-3p	-0.57
