Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Zcchc11	ENSMUST00000097925.3	"zinc finger, CCHC domain containing 11 "	mmu-miR-96-5p	-0.53
Sox6	ENSMUST00000166877.2	"SRY (sex determining region Y)-box 6 "	mmu-miR-96-5p	-0.53
Ppp3r1	ENSMUST00000102880.4	"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I) "	mmu-miR-96-5p	-0.53
Chmp2b	ENSMUST00000004965.6	"charged multivesicular body protein 2B "	mmu-miR-96-5p	-0.53
Etv3	ENSMUST00000119109.2	"ets variant 3 "	mmu-miR-96-5p	-0.53
Pnpla8	ENSMUST00000143771.1	"patatin-like phospholipase domain containing 8 "	mmu-miR-96-5p	-0.53
Zcchc16	ENSMUST00000112843.1	"zinc finger, CCHC domain containing 16 "	mmu-miR-96-5p	-0.52
Trib3	ENSMUST00000040312.6	"tribbles homolog 3 (Drosophila) "	mmu-miR-96-5p	-0.52
Hbegf	ENSMUST00000025363.5	"heparin-binding EGF-like growth factor "	mmu-miR-96-5p	-0.52
Pet117	ENSMUST00000183618.2	"PET117 homolog (S. cerevisiae) "	mmu-miR-96-5p	-0.52
Ankrd27	ENSMUST00000040844.10	"ankyrin repeat domain 27 (VPS9 domain) "	mmu-miR-96-5p	-0.52
Ube2l3	ENSMUST00000115699.2	"ubiquitin-conjugating enzyme E2L 3 "	mmu-miR-96-5p	-0.52
Lrrc3	ENSMUST00000057608.4	"leucine rich repeat containing 3 "	mmu-miR-96-5p	-0.52
Abcd1	ENSMUST00000002084.8	"ATP-binding cassette, sub-family D (ALD), member 1 "	mmu-miR-96-5p	-0.52
Ezr	ENSMUST00000064234.6	"ezrin "	mmu-miR-96-5p	-0.52
Prtg	ENSMUST00000055535.8	"protogenin homolog (Gallus gallus) "	mmu-miR-96-5p	-0.51
Atxn1	ENSMUST00000180110.2	"ataxin 1 "	mmu-miR-96-5p	-0.51
Slain2	ENSMUST00000144843.2	"SLAIN motif family, member 2 "	mmu-miR-96-5p	-0.51
Eif4ebp2	ENSMUST00000020288.8	"eukaryotic translation initiation factor 4E binding protein 2 "	mmu-miR-96-5p	-0.50
Zcchc3	ENSMUST00000099207.4	"zinc finger, CCHC domain containing 3 "	mmu-miR-96-5p	-0.50
Tes	ENSMUST00000076654.7	"testis derived transcript "	mmu-miR-96-5p	-0.50
Farp1	ENSMUST00000026635.7	"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) "	mmu-miR-96-5p	-0.50
Gap43	ENSMUST00000102817.4	"growth associated protein 43 "	mmu-miR-96-5p	-0.50
Snx30	ENSMUST00000030080.6	"sorting nexin family member 30 "	mmu-miR-96-5p	-0.50
Slc6a9	ENSMUST00000030269.8	"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 "	mmu-miR-96-5p	-0.50
Serpinb2	ENSMUST00000009356.5	"serine (or cysteine) peptidase inhibitor, clade B, member 2 "	mmu-miR-96-5p	-0.49
Tcf7l2	ENSMUST00000111656.2	"transcription factor 7 like 2, T cell specific, HMG box "	mmu-miR-96-5p	-0.49
Map2k3	ENSMUST00000019076.4	"mitogen-activated protein kinase kinase 3 "	mmu-miR-96-5p	-0.49
C77370	ENSMUST00000118314.2	"expressed sequence C77370 "	mmu-miR-96-5p	-0.49
Nova1	ENSMUST00000021438.6	"neuro-oncological ventral antigen 1 "	mmu-miR-96-5p	-0.49
Ginm1	ENSMUST00000039763.8	"glycoprotein integral membrane 1 "	mmu-miR-96-5p	-0.48
Xkr4	ENSMUST00000070533.4	"X Kell blood group precursor related family member 4 "	mmu-miR-96-5p	-0.48
Ptp4a1	ENSMUST00000027232.8	"protein tyrosine phosphatase 4a1 "	mmu-miR-96-5p	-0.48
Gpm6b	ENSMUST00000112235.2	"glycoprotein m6b "	mmu-miR-96-5p	-0.48
Arl10	ENSMUST00000026988.5	"ADP-ribosylation factor-like 10 "	mmu-miR-96-5p	-0.48
Zhx2	ENSMUST00000096430.5	"zinc fingers and homeoboxes 2 "	mmu-miR-96-5p	-0.48
Rufy1	ENSMUST00000020643.3	"RUN and FYVE domain containing 1 "	mmu-miR-96-5p	-0.48
Foxk2	ENSMUST00000106113.1	"forkhead box K2 "	mmu-miR-96-5p	-0.48
Sun2	ENSMUST00000089311.5	"Sad1 and UNC84 domain containing 2 "	mmu-miR-96-5p	-0.48
Prrx1	ENSMUST00000075805.7	"paired related homeobox 1 "	mmu-miR-96-5p	-0.47
Gulp1	ENSMUST00000162600.1	"GULP, engulfment adaptor PTB domain containing 1 "	mmu-miR-96-5p	-0.47
Tktl1	ENSMUST00000010127.6	"transketolase-like 1 "	mmu-miR-96-5p	-0.47
Sh3bp5	ENSMUST00000100730.4	"SH3-domain binding protein 5 (BTK-associated) "	mmu-miR-96-5p	-0.47
Smad7	ENSMUST00000026999.4	"SMAD family member 7 "	mmu-miR-96-5p	-0.47
Slc44a2	ENSMUST00000034697.7	"solute carrier family 44, member 2 "	mmu-miR-96-5p	-0.47
Sox5	ENSMUST00000111748.2	"SRY (sex determining region Y)-box 5 "	mmu-miR-96-5p	-0.47
Jmjd1c	ENSMUST00000051446.10	"jumonji domain containing 1C "	mmu-miR-96-5p	-0.47
Tsku	ENSMUST00000165257.2	"tsukushi "	mmu-miR-96-5p	-0.47
Ccdc79	ENSMUST00000064576.2	"coiled-coil domain containing 79 "	mmu-miR-96-5p	-0.47
Wdr82	ENSMUST00000020490.6	"WD repeat domain containing 82 "	mmu-miR-96-5p	-0.46
Vat1l	ENSMUST00000049509.6	"vesicle amine transport protein 1 homolog-like (T. californica) "	mmu-miR-96-5p	-0.46
Galr1	ENSMUST00000065224.6	"galanin receptor 1 "	mmu-miR-96-5p	-0.46
Mob1b	ENSMUST00000113229.2	"MOB kinase activator 1B "	mmu-miR-96-5p	-0.46
Mab21l2	ENSMUST00000077524.3	"mab-21-like 2 (C. elegans) "	mmu-miR-96-5p	-0.46
Clvs2	ENSMUST00000019920.7	"clavesin 2 "	mmu-miR-96-5p	-0.46
Hspa2	ENSMUST00000080449.5	"heat shock protein 2 "	mmu-miR-96-5p	-0.46
Zfp449	ENSMUST00000101560.3	"zinc finger protein 449 "	mmu-miR-96-5p	-0.46
Casp2	ENSMUST00000031895.7	"caspase 2 "	mmu-miR-96-5p	-0.46
E2f5	ENSMUST00000029069.7	"E2F transcription factor 5 "	mmu-miR-96-5p	-0.46
Zfand5	ENSMUST00000025659.5	"zinc finger, AN1-type domain 5 "	mmu-miR-96-5p	-0.45
Htr1b	ENSMUST00000183482.1	"5-hydroxytryptamine (serotonin) receptor 1B "	mmu-miR-96-5p	-0.45
Ankrd45	ENSMUST00000111608.2	"ankyrin repeat domain 45 "	mmu-miR-96-5p	-0.45
Slc12a6	ENSMUST00000028549.8	"solute carrier family 12, member 6 "	mmu-miR-96-5p	-0.45
Inpp5a	ENSMUST00000106098.2	"inositol polyphosphate-5-phosphatase A "	mmu-miR-96-5p	-0.45
Prosc	ENSMUST00000033875.8	"proline synthetase co-transcribed "	mmu-miR-96-5p	-0.45
Fhl1	ENSMUST00000114769.3	"four and a half LIM domains 1 "	mmu-miR-96-5p	-0.45
Samd12	ENSMUST00000078673.7	"sterile alpha motif domain containing 12 "	mmu-miR-96-5p	-0.44
Ttyh3	ENSMUST00000042661.3	"tweety homolog 3 (Drosophila) "	mmu-miR-96-5p	-0.44
Morf4l2	ENSMUST00000113097.2	"mortality factor 4 like 2 "	mmu-miR-96-5p	-0.44
Tbl1x	ENSMUST00000088217.6	"transducin (beta)-like 1 X-linked "	mmu-miR-96-5p	-0.44
Ube2g1	ENSMUST00000021148.7	"ubiquitin-conjugating enzyme E2G 1 "	mmu-miR-96-5p	-0.44
Mtor	ENSMUST00000103221.4	"mechanistic target of rapamycin (serine/threonine kinase) "	mmu-miR-96-5p	-0.44
Gpr124	ENSMUST00000033876.8	"G protein-coupled receptor 124 "	mmu-miR-96-5p	-0.44
Spsb1	ENSMUST00000038562.3	"splA/ryanodine receptor domain and SOCS box containing 1 "	mmu-miR-96-5p	-0.44
Ralgps1	ENSMUST00000042615.7	"Ral GEF with PH domain and SH3 binding motif 1 "	mmu-miR-96-5p	-0.43
Slco4c1	ENSMUST00000071985.5	"solute carrier organic anion transporter family, member 4C1 "	mmu-miR-96-5p	-0.43
Fam118a	ENSMUST00000023069.7	"family with sequence similarity 118, member A "	mmu-miR-96-5p	-0.43
Gria1	ENSMUST00000036315.10	"glutamate receptor, ionotropic, AMPA1 (alpha 1) "	mmu-miR-96-5p	-0.43
Morf4l1	ENSMUST00000085248.6	"mortality factor 4 like 1 "	mmu-miR-96-5p	-0.43
Prkce	ENSMUST00000097275.3	"protein kinase C, epsilon "	mmu-miR-96-5p	-0.43
Foxo1	ENSMUST00000053764.5	"forkhead box O1 "	mmu-miR-96-5p	-0.43
Nhlh2	ENSMUST00000066187.4	"nescient helix loop helix 2 "	mmu-miR-96-5p	-0.43
Unc13c	ENSMUST00000184666.2	"unc-13 homolog C (C. elegans) "	mmu-miR-96-5p	-0.42
Yipf4	ENSMUST00000024873.6	"Yip1 domain family, member 4 "	mmu-miR-96-5p	-0.42
Oxsr1	ENSMUST00000040853.5	"oxidative-stress responsive 1 "	mmu-miR-96-5p	-0.42
Rnf152	ENSMUST00000058688.6	"ring finger protein 152 "	mmu-miR-96-5p	-0.42
Zeb1	ENSMUST00000025081.6	"zinc finger E-box binding homeobox 1 "	mmu-miR-96-5p	-0.41
Slc18a3	ENSMUST00000191501.1	"solute carrier family 18 (vesicular monoamine), member 3 "	mmu-miR-96-5p	-0.41
Cnnm3	ENSMUST00000097776.3	"cyclin M3 "	mmu-miR-96-5p	-0.41
Cobl	ENSMUST00000172919.2	"cordon-bleu WH2 repeat "	mmu-miR-96-5p	-0.41
Cdh7	ENSMUST00000112701.2	"cadherin 7, type 2 "	mmu-miR-96-5p	-0.41
Tmem169	ENSMUST00000027380.6	"transmembrane protein 169 "	mmu-miR-96-5p	-0.41
Nhlrc3	ENSMUST00000056749.8	"NHL repeat containing 3 "	mmu-miR-96-5p	-0.41
Atg16l1	ENSMUST00000027512.7	"autophagy related 16-like 1 (S. cerevisiae) "	mmu-miR-96-5p	-0.41
Atg9a	ENSMUST00000189702.1	"autophagy related 9A "	mmu-miR-96-5p	-0.40
Rab3c	ENSMUST00000167824.1	"RAB3C, member RAS oncogene family "	mmu-miR-96-5p	-0.40
Ebf3	ENSMUST00000106118.3	"early B cell factor 3 "	mmu-miR-96-5p	-0.40
Grhl2	ENSMUST00000022895.9	"grainyhead-like 2 (Drosophila) "	mmu-miR-96-5p	-0.40
Lhx1	ENSMUST00000018842.8	"LIM homeobox protein 1 "	mmu-miR-96-5p	-0.40
Cog5	ENSMUST00000036862.4	"component of oligomeric golgi complex 5 "	mmu-miR-96-5p	-0.40
Insig2	ENSMUST00000003818.8	"insulin induced gene 2 "	mmu-miR-96-5p	-0.39
Gnai3	ENSMUST00000000001.4	"guanine nucleotide binding protein (G protein), alpha inhibiting 3 "	mmu-miR-96-5p	-0.39
Bach2	ENSMUST00000171600.1	"BTB and CNC homology 2 "	mmu-miR-96-5p	-0.39
St6galnac3	ENSMUST00000064460.5	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 "	mmu-miR-96-5p	-0.39
Satb2	ENSMUST00000042857.8	"special AT-rich sequence binding protein 2 "	mmu-miR-96-5p	-0.39
Alk	ENSMUST00000086639.4	"anaplastic lymphoma kinase "	mmu-miR-96-5p	-0.39
Mtss1	ENSMUST00000080371.6	"metastasis suppressor 1 "	mmu-miR-96-5p	-0.39
Slc16a13	ENSMUST00000060010.2	"solute carrier family 16 (monocarboxylic acid transporters), member 13 "	mmu-miR-96-5p	-0.38
Homer1	ENSMUST00000079086.6	"homer homolog 1 (Drosophila) "	mmu-miR-96-5p	-0.38
Foxf2	ENSMUST00000042054.2	"forkhead box F2 "	mmu-miR-96-5p	-0.38
Fyn	ENSMUST00000063091.7	"Fyn proto-oncogene "	mmu-miR-96-5p	-0.38
Plagl1	ENSMUST00000121646.2	"pleiomorphic adenoma gene-like 1 "	mmu-miR-96-5p	-0.38
Zmynd19	ENSMUST00000028350.3	"zinc finger, MYND domain containing 19 "	mmu-miR-96-5p	-0.38
Ajap1	ENSMUST00000105646.2	"adherens junction associated protein 1 "	mmu-miR-96-5p	-0.38
Foxp2	ENSMUST00000115477.2	"forkhead box P2 "	mmu-miR-96-5p	-0.38
Ldb2	ENSMUST00000070748.5	"LIM domain binding 2 "	mmu-miR-96-5p	-0.38
Cep170b	ENSMUST00000101018.4	"centrosomal protein 170B "	mmu-miR-96-5p	-0.38
Mitf	ENSMUST00000043637.8	"microphthalmia-associated transcription factor "	mmu-miR-96-5p	-0.38
Prrg3	ENSMUST00000048790.6	"proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) "	mmu-miR-96-5p	-0.38
Dnajc1	ENSMUST00000166495.2	"DnaJ (Hsp40) homolog, subfamily C, member 1 "	mmu-miR-96-5p	-0.38
Ext1	ENSMUST00000077273.3	"exostoses (multiple) 1 "	mmu-miR-96-5p	-0.37
Jazf1	ENSMUST00000074541.5	"JAZF zinc finger 1 "	mmu-miR-96-5p	-0.37
Tbx1	ENSMUST00000009241.5	"T-box 1 "	mmu-miR-96-5p	-0.37
Dock1	ENSMUST00000084488.4	"dedicator of cytokinesis 1 "	mmu-miR-96-5p	-0.37
5730559C18Rik	ENSMUST00000120339.2	"RIKEN cDNA 5730559C18 gene "	mmu-miR-96-5p	-0.37
Zak	ENSMUST00000135469.2	"sterile alpha motif and leucine zipper containing kinase AZK "	mmu-miR-96-5p	-0.37
Sh3pxd2b	ENSMUST00000038753.5	"SH3 and PX domains 2B "	mmu-miR-96-5p	-0.37
Rdh10	ENSMUST00000027053.7	"retinol dehydrogenase 10 (all-trans) "	mmu-miR-96-5p	-0.37
Cdh20	ENSMUST00000062528.8	"cadherin 20 "	mmu-miR-96-5p	-0.37
Cacng5	ENSMUST00000106742.2	"calcium channel, voltage-dependent, gamma subunit 5 "	mmu-miR-96-5p	-0.36
Rundc3b	ENSMUST00000047485.9	"RUN domain containing 3B "	mmu-miR-96-5p	-0.36
Tns3	ENSMUST00000020695.7	"tensin 3 "	mmu-miR-96-5p	-0.36
Eif5	ENSMUST00000166123.2	"eukaryotic translation initiation factor 5 "	mmu-miR-96-5p	-0.36
Myrip	ENSMUST00000048121.7	"myosin VIIA and Rab interacting protein "	mmu-miR-96-5p	-0.36
Kras	ENSMUST00000111710.2	"v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog "	mmu-miR-96-5p	-0.36
Secisbp2l	ENSMUST00000053699.7	"SECIS binding protein 2-like "	mmu-miR-96-5p	-0.36
Shox2	ENSMUST00000162060.3	"short stature homeobox 2 "	mmu-miR-96-5p	-0.36
Slc22a5	ENSMUST00000019044.7	"solute carrier family 22 (organic cation transporter), member 5 "	mmu-miR-96-5p	-0.36
Nptx2	ENSMUST00000071782.6	"neuronal pentraxin 2 "	mmu-miR-96-5p	-0.36
Epb4.1l3	ENSMUST00000112680.2	"erythrocyte protein band 4.1-like 3 "	mmu-miR-96-5p	-0.36
Rnf130	ENSMUST00000054684.8	"ring finger protein 130 "	mmu-miR-96-5p	-0.35
Zic2	ENSMUST00000075888.5	"zinc finger protein of the cerebellum 2 "	mmu-miR-96-5p	-0.35
Hoxa5	ENSMUST00000048794.6	"homeobox A5 "	mmu-miR-96-5p	-0.35
Zhx1	ENSMUST00000175805.3	"zinc fingers and homeoboxes 1 "	mmu-miR-96-5p	-0.35
Celf2	ENSMUST00000170438.2	"CUGBP, Elav-like family member 2 "	mmu-miR-96-5p	-0.35
Onecut3	ENSMUST00000051773.8	"one cut domain, family member 3 "	mmu-miR-96-5p	-0.35
Slc25a25	ENSMUST00000052119.8	"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 "	mmu-miR-96-5p	-0.35
Plod2	ENSMUST00000070522.8	"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2 "	mmu-miR-96-5p	-0.35
Brinp2	ENSMUST00000004133.8	"bone morphogenic protein/retinoic acid inducible neural-specific 2 "	mmu-miR-96-5p	-0.35
Avil	ENSMUST00000026500.6	"advillin "	mmu-miR-96-5p	-0.35
Tgfbr1	ENSMUST00000007757.9	"transforming growth factor, beta receptor I "	mmu-miR-96-5p	-0.35
Bai3	ENSMUST00000126626.2	"brain-specific angiogenesis inhibitor 3 "	mmu-miR-96-5p	-0.35
Coa4	ENSMUST00000054310.3	"cytochrome c oxidase assembly factor 4 "	mmu-miR-96-5p	-0.35
Scyl3	ENSMUST00000027876.5	"SCY1-like 3 (S. cerevisiae) "	mmu-miR-96-5p	-0.35
Mief2	ENSMUST00000018743.4	"mitochondrial elongation factor 2 "	mmu-miR-96-5p	-0.35
Hspa13	ENSMUST00000114244.1	"heat shock protein 70 family, member 13 "	mmu-miR-96-5p	-0.35
Capns1	ENSMUST00000001845.6	"calpain, small subunit 1 "	mmu-miR-96-5p	-0.35
Rhpn2	ENSMUST00000032705.7	"rhophilin, Rho GTPase binding protein 2 "	mmu-miR-96-5p	-0.34
Itga3	ENSMUST00000107739.2	"integrin alpha 3 "	mmu-miR-96-5p	-0.34
Myo19	ENSMUST00000093969.5	"myosin XIX "	mmu-miR-96-5p	-0.34
Erlin1	ENSMUST00000112028.4	"ER lipid raft associated 1 "	mmu-miR-96-5p	-0.34
Pak1	ENSMUST00000033040.6	"p21 protein (Cdc42/Rac)-activated kinase 1 "	mmu-miR-96-5p	-0.34
Rab23	ENSMUST00000088287.4	"RAB23, member RAS oncogene family "	mmu-miR-96-5p	-0.34
Jmjd6	ENSMUST00000047616.4	"jumonji domain containing 6 "	mmu-miR-96-5p	-0.34
Tc2n	ENSMUST00000162735.2	"tandem C2 domains, nuclear "	mmu-miR-96-5p	-0.34
Prrt3	ENSMUST00000101059.1	"proline-rich transmembrane protein 3 "	mmu-miR-96-5p	-0.34
Nkap	ENSMUST00000016553.4	"NFKB activating protein "	mmu-miR-96-5p	-0.34
Pdk2	ENSMUST00000038431.7	"pyruvate dehydrogenase kinase, isoenzyme 2 "	mmu-miR-96-5p	-0.34
Gga2	ENSMUST00000033160.9	"golgi associated, gamma adaptin ear containing, ARF binding protein 2 "	mmu-miR-96-5p	-0.34
Deptor	ENSMUST00000096433.4	"DEP domain containing MTOR-interacting protein "	mmu-miR-96-5p	-0.34
Rasa1	ENSMUST00000109552.2	"RAS p21 protein activator 1 "	mmu-miR-96-5p	-0.33
Gm20388	ENSMUST00000127664.1	"predicted gene 20388 "	mmu-miR-96-5p	-0.33
Vat1	ENSMUST00000040430.7	"vesicle amine transport protein 1 homolog (T californica) "	mmu-miR-96-5p	-0.33
Scamp3	ENSMUST00000029684.9	"secretory carrier membrane protein 3 "	mmu-miR-96-5p	-0.33
Col13a1	ENSMUST00000105453.2	"collagen, type XIII, alpha 1 "	mmu-miR-96-5p	-0.33
Galnt2	ENSMUST00000034458.8	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 "	mmu-miR-96-5p	-0.33
Srcrb4d	ENSMUST00000111153.2	"scavenger receptor cysteine rich domain containing, group B (4 domains) "	mmu-miR-96-5p	-0.33
Rab35	ENSMUST00000031492.9	"RAB35, member RAS oncogene family "	mmu-miR-96-5p	-0.32
Gdnf	ENSMUST00000022744.3	"glial cell line derived neurotrophic factor "	mmu-miR-96-5p	-0.32
Tmem178b	ENSMUST00000061740.7	"transmembrane protein 178B "	mmu-miR-96-5p	-0.32
Ptpn9	ENSMUST00000034832.6	"protein tyrosine phosphatase, non-receptor type 9 "	mmu-miR-96-5p	-0.32
Chic1	ENSMUST00000116547.2	"cysteine-rich hydrophobic domain 1 "	mmu-miR-96-5p	-0.32
Zfp704	ENSMUST00000041124.7	"zinc finger protein 704 "	mmu-miR-96-5p	-0.32
Uck2	ENSMUST00000027839.8	"uridine-cytidine kinase 2 "	mmu-miR-96-5p	-0.32
Tmem163	ENSMUST00000160616.2	"transmembrane protein 163 "	mmu-miR-96-5p	-0.32
Itpr2	ENSMUST00000053273.9	"inositol 1,4,5-triphosphate receptor 2 "	mmu-miR-96-5p	-0.32
Abat	ENSMUST00000065987.8	"4-aminobutyrate aminotransferase "	mmu-miR-96-5p	-0.32
Ccdc50	ENSMUST00000100026.4	"coiled-coil domain containing 50 "	mmu-miR-96-5p	-0.32
Smek1	ENSMUST00000163095.2	"SMEK homolog 1, suppressor of mek1 (Dictyostelium) "	mmu-miR-96-5p	-0.32
Cables1	ENSMUST00000046948.8	"CDK5 and Abl enzyme substrate 1 "	mmu-miR-96-5p	-0.32
Tsc22d3	ENSMUST00000055738.6	"TSC22 domain family, member 3 "	mmu-miR-96-5p	-0.31
Spen	ENSMUST00000078886.4	"SPEN homolog, transcriptional regulator (Drosophila) "	mmu-miR-96-5p	-0.31
Pmepa1	ENSMUST00000036248.7	"prostate transmembrane protein, androgen induced 1 "	mmu-miR-96-5p	-0.31
Rufy2	ENSMUST00000119567.2	"RUN and FYVE domain-containing 2 "	mmu-miR-96-5p	-0.31
Mcf2	ENSMUST00000063507.4	"mcf.2 transforming sequence "	mmu-miR-96-5p	-0.31
Otud6b	ENSMUST00000117268.2	"OTU domain containing 6B "	mmu-miR-96-5p	-0.31
Gprc5b	ENSMUST00000008878.8	"G protein-coupled receptor, family C, group 5, member B "	mmu-miR-96-5p	-0.31
Kpnb1	ENSMUST00000001479.4	"karyopherin (importin) beta 1 "	mmu-miR-96-5p	-0.31
Stard7	ENSMUST00000110375.3	"START domain containing 7 "	mmu-miR-96-5p	-0.31
Dbx1	ENSMUST00000032717.6	"developing brain homeobox 1 "	mmu-miR-96-5p	-0.31
Mtmr12	ENSMUST00000038172.9	"myotubularin related protein 12 "	mmu-miR-96-5p	-0.31
