Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Spock2	ENSMUST00000121820.3	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2 "	mmu-miR-466i-3p	-1.31
Mill2	ENSMUST00000072386.5	"MHC I like leukocyte 2 "	mmu-miR-466i-3p	-1.26
Lonrf1	ENSMUST00000065297.5	"LON peptidase N-terminal domain and ring finger 1 "	mmu-miR-466i-3p	-1.25
Arl5b	ENSMUST00000069870.4	"ADP-ribosylation factor-like 5B "	mmu-miR-466i-3p	-1.24
Gm12695	ENSMUST00000107071.1	"predicted gene 12695 "	mmu-miR-466i-3p	-1.17
Arf3	ENSMUST00000053183.9	"ADP-ribosylation factor 3 "	mmu-miR-466i-3p	-1.15
Gsk3b	ENSMUST00000023507.7	"glycogen synthase kinase 3 beta "	mmu-miR-466i-3p	-1.10
Cacfd1	ENSMUST00000114007.2	"calcium channel flower domain containing 1 "	mmu-miR-466i-3p	-1.08
Fam178a	ENSMUST00000096053.3	"family with sequence similarity 178, member A "	mmu-miR-466i-3p	-1.04
Gm2916	ENSMUST00000181779.1	"predicted gene 2916 "	mmu-miR-466i-3p	-1.01
Zfp839	ENSMUST00000170060.2	"zinc finger protein 839 "	mmu-miR-466i-3p	-1.00
Akap11	ENSMUST00000123853.2	"A kinase (PRKA) anchor protein 11 "	mmu-miR-466i-3p	-1.00
Agpat6	ENSMUST00000167004.1	"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta) "	mmu-miR-466i-3p	-1.00
Zfr	ENSMUST00000122941.2	"zinc finger RNA binding protein "	mmu-miR-466i-3p	-1.00
Taz	ENSMUST00000124200.2	"tafazzin "	mmu-miR-466i-3p	-1.00
Gucy1a3	ENSMUST00000048976.6	"guanylate cyclase 1, soluble, alpha 3 "	mmu-miR-466i-3p	-1.00
Ocln	ENSMUST00000069756.5	"occludin "	mmu-miR-466i-3p	-1.00
Slco2a1	ENSMUST00000035148.7	"solute carrier organic anion transporter family, member 2a1 "	mmu-miR-466i-3p	-1.00
Harbi1	ENSMUST00000090608.5	"harbinger transposase derived 1 "	mmu-miR-466i-3p	-1.00
Cxcl5	ENSMUST00000031318.4	"chemokine (C-X-C motif) ligand 5 "	mmu-miR-466i-3p	-0.99
1110058L19Rik	ENSMUST00000027338.3	"RIKEN cDNA 1110058L19 gene "	mmu-miR-466i-3p	-0.98
Mtx3	ENSMUST00000076169.3	"metaxin 3 "	mmu-miR-466i-3p	-0.97
Ccdc169	ENSMUST00000052904.5	"coiled-coil domain containing 169 "	mmu-miR-466i-3p	-0.95
Zfp882	ENSMUST00000110002.2	"zinc finger protein 882 "	mmu-miR-466i-3p	-0.95
Pid1	ENSMUST00000168574.3	"phosphotyrosine interaction domain containing 1 "	mmu-miR-466i-3p	-0.94
Fam69c	ENSMUST00000052501.2	"family with sequence similarity 69, member C "	mmu-miR-466i-3p	-0.94
Itgb3	ENSMUST00000021028.4	"integrin beta 3 "	mmu-miR-466i-3p	-0.92
Gxylt1	ENSMUST00000057896.4	"glucoside xylosyltransferase 1 "	mmu-miR-466i-3p	-0.91
Olfr1167	ENSMUST00000099832.3	"olfactory receptor 1167 "	mmu-miR-466i-3p	-0.91
Kcnj5	ENSMUST00000034533.5	"potassium inwardly-rectifying channel, subfamily J, member 5 "	mmu-miR-466i-3p	-0.87
Slco5a1	ENSMUST00000188454.1	"solute carrier organic anion transporter family, member 5A1 "	mmu-miR-466i-3p	-0.87
Spag7	ENSMUST00000018431.7	"sperm associated antigen 7 "	mmu-miR-466i-3p	-0.86
Cstl1	ENSMUST00000109955.4	"cystatin-like 1 "	mmu-miR-466i-3p	-0.85
Cdk12	ENSMUST00000107539.2	"cyclin-dependent kinase 12 "	mmu-miR-466i-3p	-0.85
Cep97	ENSMUST00000023270.8	"centrosomal protein 97 "	mmu-miR-466i-3p	-0.84
Epha4	ENSMUST00000027451.7	"Eph receptor A4 "	mmu-miR-466i-3p	-0.83
Mapk1ip1l	ENSMUST00000164235.1	"mitogen-activated protein kinase 1 interacting protein 1-like "	mmu-miR-466i-3p	-0.83
Usp27x	ENSMUST00000191497.1	"ubiquitin specific peptidase 27, X chromosome "	mmu-miR-466i-3p	-0.82
Slitrk4	ENSMUST00000069926.8	"SLIT and NTRK-like family, member 4 "	mmu-miR-466i-3p	-0.81
Tbc1d13	ENSMUST00000044556.6	"TBC1 domain family, member 13 "	mmu-miR-466i-3p	-0.79
Ccnt1	ENSMUST00000169707.2	"cyclin T1 "	mmu-miR-466i-3p	-0.79
Zfp617	ENSMUST00000119003.1	"zinc finger protein 617 "	mmu-miR-466i-3p	-0.78
Mgam	ENSMUST00000071535.6	"maltase-glucoamylase "	mmu-miR-466i-3p	-0.78
Prr3	ENSMUST00000165613.3	"proline-rich polypeptide 3 "	mmu-miR-466i-3p	-0.77
Dnajb4	ENSMUST00000050073.7	"DnaJ (Hsp40) homolog, subfamily B, member 4 "	mmu-miR-466i-3p	-0.77
Plag1	ENSMUST00000003369.4	"pleiomorphic adenoma gene 1 "	mmu-miR-466i-3p	-0.76
Hook3	ENSMUST00000037182.8	"hook homolog 3 (Drosophila) "	mmu-miR-466i-3p	-0.76
Rora	ENSMUST00000034766.8	"RAR-related orphan receptor alpha "	mmu-miR-466i-3p	-0.76
Rapgef3	ENSMUST00000126854.3	"Rap guanine nucleotide exchange factor (GEF) 3 "	mmu-miR-466i-3p	-0.75
Nup93	ENSMUST00000109547.1	"nucleoporin 93 "	mmu-miR-466i-3p	-0.75
Gm498	ENSMUST00000152910.1	"predicted gene 498 "	mmu-miR-466i-3p	-0.74
Iapp	ENSMUST00000041993.2	"islet amyloid polypeptide "	mmu-miR-466i-3p	-0.72
Rabgap1	ENSMUST00000112920.1	"RAB GTPase activating protein 1 "	mmu-miR-466i-3p	-0.71
Stxbp6	ENSMUST00000120531.2	"syntaxin binding protein 6 (amisyn) "	mmu-miR-466i-3p	-0.71
Mms22l	ENSMUST00000108222.3	"MMS22-like, DNA repair protein "	mmu-miR-466i-3p	-0.70
Ankle1	ENSMUST00000119976.2	"ankyrin repeat and LEM domain containing 1 "	mmu-miR-466i-3p	-0.69
Lmx1a	ENSMUST00000111377.2	"LIM homeobox transcription factor 1 alpha "	mmu-miR-466i-3p	-0.69
Fbxl21	ENSMUST00000121871.2	"F-box and leucine-rich repeat protein 21 "	mmu-miR-466i-3p	-0.69
Sox5	ENSMUST00000111748.2	"SRY (sex determining region Y)-box 5 "	mmu-miR-466i-3p	-0.68
Shb	ENSMUST00000061986.6	"src homology 2 domain-containing transforming protein B "	mmu-miR-466i-3p	-0.68
Zfp81	ENSMUST00000054072.8	"zinc finger protein 81 "	mmu-miR-466i-3p	-0.67
2410127L17Rik	ENSMUST00000025632.9	"RIKEN cDNA 2410127L17 gene "	mmu-miR-466i-3p	-0.67
Arl14epl	ENSMUST00000097580.1	"ADP-ribosylation factor-like 14 effector protein-like "	mmu-miR-466i-3p	-0.67
Gm6994	ENSMUST00000088880.5	"predicted gene 6994 "	mmu-miR-466i-3p	-0.67
Tns3	ENSMUST00000020695.7	"tensin 3 "	mmu-miR-466i-3p	-0.66
Mgat4c	ENSMUST00000163753.2	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative) "	mmu-miR-466i-3p	-0.66
Sin3a	ENSMUST00000167715.2	"transcriptional regulator, SIN3A (yeast) "	mmu-miR-466i-3p	-0.65
Serpinb8	ENSMUST00000112706.3	"serine (or cysteine) peptidase inhibitor, clade B, member 8 "	mmu-miR-466i-3p	-0.65
Tnfrsf11a	ENSMUST00000027559.7	"tumor necrosis factor receptor superfamily, member 11a "	mmu-miR-466i-3p	-0.65
Msr1	ENSMUST00000170091.1	"macrophage scavenger receptor 1 "	mmu-miR-466i-3p	-0.64
Atf2	ENSMUST00000112010.3	"activating transcription factor 2 "	mmu-miR-466i-3p	-0.64
Zc3h12d	ENSMUST00000039484.4	"zinc finger CCCH type containing 12D "	mmu-miR-466i-3p	-0.64
Psip1	ENSMUST00000030207.9	"PC4 and SFRS1 interacting protein 1 "	mmu-miR-466i-3p	-0.64
Sytl4	ENSMUST00000113297.3	"synaptotagmin-like 4 "	mmu-miR-466i-3p	-0.63
Dcaf17	ENSMUST00000154704.2	"DDB1 and CUL4 associated factor 17 "	mmu-miR-466i-3p	-0.63
Fbxl18	ENSMUST00000110766.2	"F-box and leucine-rich repeat protein 18 "	mmu-miR-466i-3p	-0.63
Olfr1393	ENSMUST00000078932.1	"olfactory receptor 1393 "	mmu-miR-466i-3p	-0.62
Tex12	ENSMUST00000034568.5	"testis expressed gene 12 "	mmu-miR-466i-3p	-0.62
Adat2	ENSMUST00000019944.8	"adenosine deaminase, tRNA-specific 2 "	mmu-miR-466i-3p	-0.62
Grin2b	ENSMUST00000053880.7	"glutamate receptor, ionotropic, NMDA2B (epsilon 2) "	mmu-miR-466i-3p	-0.62
Wfs1	ENSMUST00000043964.7	"Wolfram syndrome 1 homolog (human) "	mmu-miR-466i-3p	-0.62
Fam173b	ENSMUST00000042702.6	"family with sequence similarity 173, member B "	mmu-miR-466i-3p	-0.62
Gpd1l	ENSMUST00000146623.2	"glycerol-3-phosphate dehydrogenase 1-like "	mmu-miR-466i-3p	-0.61
Itpripl2	ENSMUST00000178344.1	"inositol 1,4,5-triphosphate receptor interacting protein-like 2 "	mmu-miR-466i-3p	-0.61
Olfr619	ENSMUST00000098196.3	"olfactory receptor 619 "	mmu-miR-466i-3p	-0.61
Tbx20	ENSMUST00000052946.5	"T-box 20 "	mmu-miR-466i-3p	-0.61
Trp53inp1	ENSMUST00000029865.3	"transformation related protein 53 inducible nuclear protein 1 "	mmu-miR-466i-3p	-0.61
Daam1	ENSMUST00000085299.2	"dishevelled associated activator of morphogenesis 1 "	mmu-miR-466i-3p	-0.60
Ikzf4	ENSMUST00000133342.2	"IKAROS family zinc finger 4 "	mmu-miR-466i-3p	-0.60
Bcl2l11	ENSMUST00000110341.3	"BCL2-like 11 (apoptosis facilitator) "	mmu-miR-466i-3p	-0.60
4933427D06Rik	ENSMUST00000168837.3	"RIKEN cDNA 4933427D06 gene "	mmu-miR-466i-3p	-0.60
Fxyd5	ENSMUST00000162733.2	"FXYD domain-containing ion transport regulator 5 "	mmu-miR-466i-3p	-0.60
Pou3f4	ENSMUST00000078229.4	"POU domain, class 3, transcription factor 4 "	mmu-miR-466i-3p	-0.60
Aga	ENSMUST00000033920.4	"aspartylglucosaminidase "	mmu-miR-466i-3p	-0.60
Cntnap5a	ENSMUST00000043725.8	"contactin associated protein-like 5A "	mmu-miR-466i-3p	-0.60
Gm10339	ENSMUST00000181509.1	"predicted gene 10339 "	mmu-miR-466i-3p	-0.60
Zfp811	ENSMUST00000080905.6	"zinc finger protein 811 "	mmu-miR-466i-3p	-0.59
Gm10118	ENSMUST00000079279.3	"predicted gene 10118 "	mmu-miR-466i-3p	-0.59
Slc39a2	ENSMUST00000047726.6	"solute carrier family 39 (zinc transporter), member 2 "	mmu-miR-466i-3p	-0.59
Nfe2l3	ENSMUST00000005103.6	"nuclear factor, erythroid derived 2, like 3 "	mmu-miR-466i-3p	-0.59
Cyb5r1	ENSMUST00000027726.8	"cytochrome b5 reductase 1 "	mmu-miR-466i-3p	-0.58
Gpr50	ENSMUST00000070449.5	"G-protein-coupled receptor 50 "	mmu-miR-466i-3p	-0.58
Btnl9	ENSMUST00000046522.7	"butyrophilin-like 9 "	mmu-miR-466i-3p	-0.58
Egr3	ENSMUST00000035908.1	"early growth response 3 "	mmu-miR-466i-3p	-0.58
Htr2b	ENSMUST00000027431.6	"5-hydroxytryptamine (serotonin) receptor 2B "	mmu-miR-466i-3p	-0.58
Klf6	ENSMUST00000000080.6	"Kruppel-like factor 6 "	mmu-miR-466i-3p	-0.58
Inpp4b	ENSMUST00000172031.2	"inositol polyphosphate-4-phosphatase, type II "	mmu-miR-466i-3p	-0.58
Gripap1	ENSMUST00000065932.8	"GRIP1 associated protein 1 "	mmu-miR-466i-3p	-0.57
Muc15	ENSMUST00000111017.3	"mucin 15 "	mmu-miR-466i-3p	-0.57
Gm10251	ENSMUST00000181786.1	"predicted gene 10251 "	mmu-miR-466i-3p	-0.56
E2f1	ENSMUST00000103145.5	"E2F transcription factor 1 "	mmu-miR-466i-3p	-0.56
Grik3	ENSMUST00000030676.7	"glutamate receptor, ionotropic, kainate 3 "	mmu-miR-466i-3p	-0.56
Tlr9	ENSMUST00000062241.10	"toll-like receptor 9 "	mmu-miR-466i-3p	-0.56
Amacr	ENSMUST00000070877.5	"alpha-methylacyl-CoA racemase "	mmu-miR-466i-3p	-0.56
Slc44a1	ENSMUST00000107651.3	"solute carrier family 44, member 1 "	mmu-miR-466i-3p	-0.56
Iqcf5	ENSMUST00000085113.4	"IQ motif containing F5 "	mmu-miR-466i-3p	-0.56
Cdc73	ENSMUST00000018337.8	"cell division cycle 73, Paf1/RNA polymerase II complex component "	mmu-miR-466i-3p	-0.56
Csnk1e	ENSMUST00000117786.2	"casein kinase 1, epsilon "	mmu-miR-466i-3p	-0.56
Dzank1	ENSMUST00000081982.6	"double zinc ribbon and ankyrin repeat domains 1 "	mmu-miR-466i-3p	-0.56
Nrf1	ENSMUST00000115208.2	"nuclear respiratory factor 1 "	mmu-miR-466i-3p	-0.55
Ankrd24	ENSMUST00000119336.2	"ankyrin repeat domain 24 "	mmu-miR-466i-3p	-0.55
Rad54l2	ENSMUST00000046502.6	"RAD54 like 2 (S. cerevisiae) "	mmu-miR-466i-3p	-0.55
Pde1a	ENSMUST00000102655.4	"phosphodiesterase 1A, calmodulin-dependent "	mmu-miR-466i-3p	-0.55
Lin28b	ENSMUST00000079390.6	"lin-28 homolog B (C. elegans) "	mmu-miR-466i-3p	-0.55
Eif5a2	ENSMUST00000060500.7	"eukaryotic translation initiation factor 5A2 "	mmu-miR-466i-3p	-0.55
Foxn3	ENSMUST00000046859.5	"forkhead box N3 "	mmu-miR-466i-3p	-0.55
Rab3c	ENSMUST00000167824.1	"RAB3C, member RAS oncogene family "	mmu-miR-466i-3p	-0.55
Gm12216	ENSMUST00000120776.2	"predicted gene 12216 "	mmu-miR-466i-3p	-0.54
Tdrd1	ENSMUST00000111606.2	"tudor domain containing 1 "	mmu-miR-466i-3p	-0.54
Smim17	ENSMUST00000160218.1	"small integral membrane protein 17 "	mmu-miR-466i-3p	-0.54
Akap5	ENSMUST00000095610.3	"A kinase (PRKA) anchor protein 5 "	mmu-miR-466i-3p	-0.54
Zfp808	ENSMUST00000099449.3	"zinc finger protein 80 "	mmu-miR-466i-3p	-0.54
Ash1l	ENSMUST00000186583.1	"ash1 (absent, small, or homeotic)-like (Drosophila) "	mmu-miR-466i-3p	-0.54
Gpr4	ENSMUST00000060225.4	"G protein-coupled receptor 4 "	mmu-miR-466i-3p	-0.54
Eya1	ENSMUST00000027066.7	"eyes absent 1 homolog (Drosophila) "	mmu-miR-466i-3p	-0.54
Ccdc144b	ENSMUST00000062056.9	"coiled-coil domain containing 144B "	mmu-miR-466i-3p	-0.53
Tnfrsf13b	ENSMUST00000010286.2	"tumor necrosis factor receptor superfamily, member 13b "	mmu-miR-466i-3p	-0.53
Ube2d2b	ENSMUST00000072578.7	"ubiquitin-conjugating enzyme E2D 2B "	mmu-miR-466i-3p	-0.53
Pak6	ENSMUST00000099557.4	"p21 protein (Cdc42/Rac)-activated kinase 6 "	mmu-miR-466i-3p	-0.53
Mgat5	ENSMUST00000038361.5	"mannoside acetylglucosaminyltransferase 5 "	mmu-miR-466i-3p	-0.53
Ttll8	ENSMUST00000109371.2	"tubulin tyrosine ligase-like family, member 8 "	mmu-miR-466i-3p	-0.53
Hist1h1d	ENSMUST00000045301.7	"histone cluster 1, H1d "	mmu-miR-466i-3p	-0.52
Tmprss13	ENSMUST00000034597.7	"transmembrane protease, serine 13 "	mmu-miR-466i-3p	-0.52
Slc7a11	ENSMUST00000029297.4	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 "	mmu-miR-466i-3p	-0.51
Mcam	ENSMUST00000098852.2	"melanoma cell adhesion molecule "	mmu-miR-466i-3p	-0.51
Dsc3	ENSMUST00000115848.3	"desmocollin 3 "	mmu-miR-466i-3p	-0.51
Anxa10	ENSMUST00000034052.7	"annexin A10 "	mmu-miR-466i-3p	-0.51
Timm10	ENSMUST00000028470.4	"translocase of inner mitochondrial membrane 10 "	mmu-miR-466i-3p	-0.51
Zbtb20	ENSMUST00000114694.3	"zinc finger and BTB domain containing 20 "	mmu-miR-466i-3p	-0.51
Fam219a	ENSMUST00000108049.3	"family with sequence similarity 219, member A "	mmu-miR-466i-3p	-0.51
Pcgf2	ENSMUST00000179765.2	"polycomb group ring finger 2 "	mmu-miR-466i-3p	-0.51
Pbld1	ENSMUST00000020262.4	"phenazine biosynthesis-like protein domain containing 1 "	mmu-miR-466i-3p	-0.50
Commd2	ENSMUST00000160959.2	"COMM domain containing 2 "	mmu-miR-466i-3p	-0.50
4930568D16Rik	ENSMUST00000028243.1	"RIKEN cDNA 4930568D16 gene "	mmu-miR-466i-3p	-0.50
Adm	ENSMUST00000033054.8	"adrenomedullin "	mmu-miR-466i-3p	-0.50
Arhgap23	ENSMUST00000121799.2	"Rho GTPase activating protein 23 "	mmu-miR-466i-3p	-0.50
Klhl21	ENSMUST00000097773.3	"kelch-like 21 "	mmu-miR-466i-3p	-0.50
Glod4	ENSMUST00000017430.6	"glyoxalase domain containing 4 "	mmu-miR-466i-3p	-0.50
Tcte1	ENSMUST00000113547.1	"t-complex-associated testis expressed 1 "	mmu-miR-466i-3p	-0.49
Tbc1d22b	ENSMUST00000048677.7	"TBC1 domain family, member 22B "	mmu-miR-466i-3p	-0.49
Rnf219	ENSMUST00000022716.2	"ring finger protein 219 "	mmu-miR-466i-3p	-0.49
Zfp661	ENSMUST00000110366.2	"zinc finger protein 661 "	mmu-miR-466i-3p	-0.49
Slfn5	ENSMUST00000067443.3	"schlafen 5 "	mmu-miR-466i-3p	-0.49
A930011G23Rik	ENSMUST00000161148.1	"RIKEN cDNA A930011G23 gene "	mmu-miR-466i-3p	-0.49
Zfp11	ENSMUST00000049778.6	"zinc finger protein 11 "	mmu-miR-466i-3p	-0.49
Cacna1b	ENSMUST00000070864.8	"calcium channel, voltage-dependent, N type, alpha 1B subunit "	mmu-miR-466i-3p	-0.49
Hdac7	ENSMUST00000079838.8	"histone deacetylase 7 "	mmu-miR-466i-3p	-0.49
Gm21364	ENSMUST00000178080.2	"predicted gene, 21364 "	mmu-miR-466i-3p	-0.49
Ldlrad3	ENSMUST00000058790.6	"low density lipoprotein receptor class A domain containing 3 "	mmu-miR-466i-3p	-0.49
Wrb	ENSMUST00000023913.8	"tryptophan rich basic protein "	mmu-miR-466i-3p	-0.49
Chmp3	ENSMUST00000059462.6	"charged multivesicular body protein 3 "	mmu-miR-466i-3p	-0.49
Gm28048	ENSMUST00000160826.1	"predicted gene, 28048 "	mmu-miR-466i-3p	-0.49
Rasgrp3	ENSMUST00000164192.2	"RAS, guanyl releasing protein 3 "	mmu-miR-466i-3p	-0.49
Rap1b	ENSMUST00000064667.7	"RAS related protein 1b "	mmu-miR-466i-3p	-0.49
Rsbn1l	ENSMUST00000036489.5	"round spermatid basic protein 1-like "	mmu-miR-466i-3p	-0.48
Gucy1b3	ENSMUST00000029635.8	"guanylate cyclase 1, soluble, beta 3 "	mmu-miR-466i-3p	-0.48
Tll1	ENSMUST00000066166.4	"tolloid-like "	mmu-miR-466i-3p	-0.48
Ino80d	ENSMUST00000097718.3	"INO80 complex subunit D "	mmu-miR-466i-3p	-0.48
Ndufs2	ENSMUST00000013737.7	"NADH dehydrogenase (ubiquinone) Fe-S protein 2 "	mmu-miR-466i-3p	-0.48
Fam184a	ENSMUST00000020003.8	"family with sequence similarity 184, member A "	mmu-miR-466i-3p	-0.48
Rab1	ENSMUST00000020358.6	"RAB1, member RAS oncogene family "	mmu-miR-466i-3p	-0.48
1700052N19Rik	ENSMUST00000118544.2	"RIKEN cDNA 1700052N19 gene "	mmu-miR-466i-3p	-0.48
Slc5a3	ENSMUST00000113975.2	"solute carrier family 5 (inositol transporters), member 3 "	mmu-miR-466i-3p	-0.47
Gspt2	ENSMUST00000096368.3	"G1 to S phase transition 2 "	mmu-miR-466i-3p	-0.47
Tmed3	ENSMUST00000058488.7	"transmembrane emp24 domain containing 3 "	mmu-miR-466i-3p	-0.47
Slc1a2	ENSMUST00000080210.4	"solute carrier family 1 (glial high affinity glutamate transporter), member 2 "	mmu-miR-466i-3p	-0.47
B3gnt2	ENSMUST00000062844.10	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 "	mmu-miR-466i-3p	-0.47
Nog	ENSMUST00000061728.4	"noggin "	mmu-miR-466i-3p	-0.47
Mettl9	ENSMUST00000033163.6	"methyltransferase like 9 "	mmu-miR-466i-3p	-0.47
Slc6a19	ENSMUST00000022048.5	"solute carrier family 6 (neurotransmitter transporter), member 19 "	mmu-miR-466i-3p	-0.47
Efemp1	ENSMUST00000020759.6	"epidermal growth factor-containing fibulin-like extracellular matrix protein 1 "	mmu-miR-466i-3p	-0.47
Dkk1	ENSMUST00000025803.8	"dickkopf homolog 1 (Xenopus laevis) "	mmu-miR-466i-3p	-0.47
Zfp369	ENSMUST00000130799.2	"zinc finger protein 369 "	mmu-miR-466i-3p	-0.47
Ccl28	ENSMUST00000099241.2	"chemokine (C-C motif) ligand 28 "	mmu-miR-466i-3p	-0.47
Mcemp1	ENSMUST00000014118.2	"mast cell expressed membrane protein 1 "	mmu-miR-466i-3p	-0.47
Kcne2	ENSMUST00000047383.4	"potassium voltage-gated channel, Isk-related subfamily, gene 2 "	mmu-miR-466i-3p	-0.46
Adamts9	ENSMUST00000113438.2	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 "	mmu-miR-466i-3p	-0.46
2610002M06Rik	ENSMUST00000120722.1	"RIKEN cDNA 2610002M06 gene "	mmu-miR-466i-3p	-0.46
Akap10	ENSMUST00000102650.4	"A kinase (PRKA) anchor protein 10 "	mmu-miR-466i-3p	-0.46
Ccnc	ENSMUST00000065928.5	"cyclin C "	mmu-miR-466i-3p	-0.46
Snrnp35	ENSMUST00000031349.8	"small nuclear ribonucleoprotein 35 (U11/U12) "	mmu-miR-466i-3p	-0.46
Slc10a6	ENSMUST00000031263.1	"solute carrier family 10 (sodium/bile acid cotransporter family), member 6 "	mmu-miR-466i-3p	-0.46
Tnfaip8	ENSMUST00000148159.2	"tumor necrosis factor, alpha-induced protein 8 "	mmu-miR-466i-3p	-0.46
4930502E18Rik	ENSMUST00000069209.1	"RIKEN cDNA 4930502E18 gene "	mmu-miR-466i-3p	-0.46
Il11ra1	ENSMUST00000108041.2	"interleukin 11 receptor, alpha chain 1 "	mmu-miR-466i-3p	-0.46
Hectd2	ENSMUST00000047247.6	"HECT domain containing 2 "	mmu-miR-466i-3p	-0.46
Arl6ip1	ENSMUST00000032888.7	"ADP-ribosylation factor-like 6 interacting protein 1 "	mmu-miR-466i-3p	-0.46
Ppargc1a	ENSMUST00000132734.2	"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha "	mmu-miR-466i-3p	-0.46
Usf2	ENSMUST00000058860.8	"upstream transcription factor 2 "	mmu-miR-466i-3p	-0.46
Ppp1r42	ENSMUST00000027049.4	"protein phosphatase 1, regulatory subunit 42 "	mmu-miR-466i-3p	-0.45
Gmeb1	ENSMUST00000168553.2	"glucocorticoid modulatory element binding protein 1 "	mmu-miR-466i-3p	-0.45
Gnpat	ENSMUST00000034466.4	"glyceronephosphate O-acyltransferase "	mmu-miR-466i-3p	-0.45
Kcng3	ENSMUST00000051482.1	"potassium voltage-gated channel, subfamily G, member 3 "	mmu-miR-466i-3p	-0.45
Fbxl17	ENSMUST00000024761.7	"F-box and leucine-rich repeat protein 17 "	mmu-miR-466i-3p	-0.45
5730409E04Rik	ENSMUST00000097886.3	"RIKEN cDNA 5730409E04Rik gene "	mmu-miR-466i-3p	-0.45
Xrcc4	ENSMUST00000022115.8	"X-ray repair complementing defective repair in Chinese hamster cells 4 "	mmu-miR-466i-3p	-0.45
Slc25a46	ENSMUST00000060396.6	"solute carrier family 25, member 46 "	mmu-miR-466i-3p	-0.45
Tmc7	ENSMUST00000044195.4	"transmembrane channel-like gene family 7 "	mmu-miR-466i-3p	-0.45
Slc25a1	ENSMUST00000003622.9	"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 "	mmu-miR-466i-3p	-0.45
Cep170b	ENSMUST00000101018.4	"centrosomal protein 170B "	mmu-miR-466i-3p	-0.45
Rgs4	ENSMUST00000111357.1	"regulator of G-protein signaling 4 "	mmu-miR-466i-3p	-0.44
Foxr2	ENSMUST00000096265.4	"forkhead box R2 "	mmu-miR-466i-3p	-0.44
Gdi1	ENSMUST00000015435.5	"guanosine diphosphate (GDP) dissociation inhibitor 1 "	mmu-miR-466i-3p	-0.44
Gm13011	ENSMUST00000024200.6	"predicted gene 13011 "	mmu-miR-466i-3p	-0.44
Ran	ENSMUST00000031383.8	"RAN, member RAS oncogene family "	mmu-miR-466i-3p	-0.44
Rab11fip3	ENSMUST00000118828.2	"RAB11 family interacting protein 3 (class II) "	mmu-miR-466i-3p	-0.44
